PDA,158,Motor,,
PDB,159,Motor,,
PDEL,160,Interneuron,,
PDER,161,Interneuron,,
PHAL,162,Sensory,,
PHAR,163,Sensory,,
PHBL,164,Sensory,,
PHBR,165,Sensory,,
PHCL,166,Sensory,,
PHCR,167,Sensory,,
PLML,168,Sensory,,
PLMR,169,Sensory,,
PLNL,170,Sensory/Interneuron,,
PLNR,171,Sensory/Interneuron,,
PQR,172,Sensory,,
PVCL,173,Interneuron,,
PVCR,174,Interneuron,,
PVDL,175,Sensory,,
PVDR,176,Sensory,,
PVM,177,Sensory,,
PVNL,178,Motor/Interneuron,,
PVNR,179,Motor/Interneuron,,
PVPL,180,Interneuron,,
PVPR,181,Interneuron,,
PVQL,182,Interneuron,,
PVQR,183,Interneuron,,
PVR,184,Interneuron,,
PVT,185,Interneuron,,
PVWL,186,Interneuron,,
PVWR,187,Interneuron,,
RIAL,188,Interneuron,,
RIAR,189,Interneuron,,
RIBL,190,Interneuron,,
RIBR,191,Interneuron,,
RICL,192,Interneuron,,
RICR,193,Interneuron,,
RID,194,Interneuron,,
RIFL,195,Interneuron,,
RIFR,196,Interneuron,,
RIGL,197,Interneuron,,
RIGR,198,Interneuron,,
RIH,199,Interneuron,,
RIML,200,Interneuron,,
RIMR,201,Interneuron,,
RIPL,202,Interneuron,,
RIPR,203,Interneuron,,
RIR,204,Interneuron,,
RIS,205,Interneuron,,
RIVL,206,Interneuron,,
RIVR,207,Interneuron,,
RMDDL,208,Motor/Interneuron,,
RMDDR,209,Motor/Interneuron,,
RMDL,210,Motor/Interneuron,,
RMDR,211,Motor/Interneuron,,
RMDVL,212,Motor/Interneuron,,
RMDVR,213,Motor/Interneuron,,
RMED,214,Motor,,
RMEL,215,Motor,,
RMER,216,Motor,,
RMEV,217,Motor,,
RMFL,218,Motor/Interneuron,,
RMFR,219,Motor/Interneuron,,
RMGL,220,Interneuron,,
RMGR,221,Interneuron,,
RMHL,222,Motor/Interneuron,,
RMHR,223,Motor/Interneuron,,
SAADL,224,Interneuron,,
SAADR,225,Interneuron,,
SAAVL,226,Interneuron,,
SAAVR,227,Interneuron,,
SABD,228,Interneuron,,
SABVL,229,Interneuron,,
SABVR,230,Interneuron,,
SDQL,231,Interneuron,,
SDQR,232,Interneuron,,
SIADL,233,Interneuron,,
SIADR,234,Interneuron,,
SIAVL,235,Interneuron,,
SIAVR,236,Interneuron,,
SIBDL,237,Interneuron,,
SIBDR,238,Interneuron,,
SIBVL,239,Interneuron,,
SIBVR,240,Interneuron,,
SMBDL,241,Motor/Interneuron,,
SMBDR,242,Motor/Interneuron,,
SMBVL,243,Motor/Interneuron,,
SMBVR,244,Motor/Interneuron,,
SMDDL,245,Motor/Interneuron,,
SMDDR,246,Motor/Interneuron,,
SMDVL,247,Motor/Interneuron,,
SMDVR,248,Motor/Interneuron,,
URADL,249,Motor,,
URADR,250,Motor,,
URAVL,251,Motor,,
URAVR,252,Motor,,
URBL,253,Interneuron,,
URBR,254,Interneuron,,
URXL,255,Interneuron,,
URXR,256,Interneuron,,
URYDL,257,Sensory,,
URYDR,258,Sensory,,
URYVL,259,Sensory,,
URYVR,260,Sensory,,
VA1,261,Motor,,
VA2,262,Motor,,
VA3,263,Motor,,
VA4,264,Motor,,
VA5,265,Motor,,
VA6,266,Motor,,
VA7,267,Motor,,
VA8,268,Motor,,
VA9,269,Motor,,
VA10,270,Motor,,
VA11,271,Motor,,
VA12,272,Motor,,
VB1,273,Motor,,
VB2,274,Motor,,
VB3,275,Motor,,
VB4,276,Motor,,
VB5,277,Motor,,
VB6,278,Motor,,
VB7,279,Motor,,
VB8,280,Motor,,
VB9,281,Motor,,
VB10,282,Motor,,
VB11,283,Motor,,
VC1,284,Motor,,
VC2,285,Motor,,
VC3,286,Motor,,
VC4,287,Motor,,
VC5,288,Motor,,
VC6,289,Motor,,
VD1,290,Motor,,
VD2,291,Motor,,
VD3,292,Motor,,
VD4,293,Motor,,
VD5,294,Motor,,
VD6,295,Motor,,
VD7,296,Motor,,
VD8,297,Motor,,
VD9,298,Motor,,
VD10,299,Motor,,
VD11,300,Motor,,
VD12,301,Motor,,
VD13,302,Motor,,
